marker	chr	start
1	RSM_1_0.05	1	50000
2	RSM_1_0.15	1	150000
3	RSM_1_0.25	1	250000
4	RSM_1_0.35	1	350000
5	RSM_1_0.45	1	450000
6	RSM_1_0.55	1	550000
7	RSM_1_0.65	1	650000
8	RSM_1_0.75	1	750000
9	RSM_1_0.85	1	850000
10	RSM_1_0.95	1	950000
11	RSM_1_1.05	1	1050000
12	RSM_1_1.15	1	1150000
13	RSM_1_1.25	1	1250000
14	RSM_1_1.35	1	1350000
15	RSM_1_1.45	1	1450000
16	RSM_1_1.55	1	1550000
17	RSM_1_1.65	1	1650000
18	RSM_1_1.75	1	1750000
19	RSM_1_1.85	1	1850000
20	RSM_1_1.95	1	1950000
21	RSM_1_2.05	1	2050000
22	RSM_1_2.15	1	2150000
23	RSM_1_2.25	1	2250000
24	RSM_1_2.35	1	2350000
25	RSM_1_2.45	1	2450000
26	RSM_1_2.55	1	2550000
27	RSM_1_2.65	1	2650000
28	RSM_1_2.75	1	2750000
29	RSM_1_2.85	1	2850000
30	RSM_1_2.95	1	2950000
31	RSM_1_3.05	1	3050000
32	RSM_1_3.15	1	3150000
33	RSM_1_3.25	1	3250000
34	RSM_1_3.35	1	3350000
35	RSM_1_3.45	1	3450000
36	RSM_1_3.55	1	3550000
37	RSM_1_3.65	1	3650000
38	RSM_1_3.75	1	3750000
39	RSM_1_3.85	1	3850000
40	RSM_1_3.95	1	3950000
41	RSM_1_4.05	1	4050000
42	RSM_1_4.15	1	4150000
43	RSM_1_4.25	1	4250000
44	RSM_1_4.35	1	4350000
45	RSM_1_4.45	1	4450000
46	RSM_1_4.55	1	4550000
47	RSM_1_4.65	1	4650000
48	RSM_1_4.75	1	4750000
49	RSM_1_4.85	1	4850000
50	RSM_1_4.95	1	4950000
51	RSM_1_5.05	1	5050000
52	RSM_1_5.15	1	5150000
53	RSM_1_5.25	1	5250000
54	RSM_1_5.35	1	5350000
55	RSM_1_5.45	1	5450000
56	RSM_1_5.55	1	5550000
57	RSM_1_5.65	1	5650000
58	RSM_1_5.75	1	5750000
59	RSM_1_5.85	1	5850000
60	RSM_1_5.95	1	5950000
61	RSM_1_6.05	1	6050000
62	RSM_1_6.15	1	6150000
63	RSM_1_6.25	1	6250000
64	RSM_1_6.35	1	6350000
65	RSM_1_6.45	1	6450000
66	RSM_1_6.55	1	6550000
67	RSM_1_6.65	1	6650000
68	RSM_1_6.75	1	6750000
69	RSM_1_6.85	1	6850000
70	RSM_1_6.95	1	6950000
71	RSM_1_7.05	1	7050000
72	RSM_1_7.15	1	7150000
73	RSM_1_7.25	1	7250000
74	RSM_1_7.35	1	7350000
75	RSM_1_7.45	1	7450000
76	RSM_1_7.55	1	7550000
77	RSM_1_7.65	1	7650000
78	RSM_1_7.75	1	7750000
79	RSM_1_7.85	1	7850000
80	RSM_1_7.95	1	7950000
81	RSM_1_8.05	1	8050000
82	RSM_1_8.15	1	8150000
83	RSM_1_8.25	1	8250000
84	RSM_1_8.35	1	8350000
85	RSM_1_8.45	1	8450000
86	RSM_1_8.55	1	8550000
87	RSM_1_8.65	1	8650000
88	RSM_1_8.75	1	8750000
89	RSM_1_8.85	1	8850000
90	RSM_1_8.95	1	8950000
91	RSM_1_9.05	1	9050000
92	RSM_1_9.15	1	9150000
93	RSM_1_9.25	1	9250000
94	RSM_1_9.35	1	9350000
95	RSM_1_9.45	1	9450000
96	RSM_1_9.55	1	9550000
97	RSM_1_9.65	1	9650000
98	RSM_1_9.75	1	9750000
99	RSM_1_9.85	1	9850000
100	RSM_1_9.95	1	9950000
101	RSM_1_10.05	1	10050000
102	RSM_1_10.25	1	10250000
103	RSM_1_10.35	1	10350000
104	RSM_1_10.45	1	10450000
105	RSM_1_10.65	1	10650000
106	RSM_1_10.75	1	10750000
107	RSM_1_11.05	1	11050000
108	RSM_1_11.15	1	11150000
109	RSM_1_11.25	1	11250000
110	RSM_1_11.35	1	11350000
111	RSM_1_11.45	1	11450000
112	RSM_1_11.55	1	11550000
113	RSM_1_11.65	1	11650000
114	RSM_1_11.75	1	11750000
115	RSM_1_11.85	1	11850000
116	RSM_1_11.95	1	11950000
117	RSM_1_12.05	1	12050000
118	RSM_1_12.15	1	12150000
119	RSM_1_12.25	1	12250000
120	RSM_1_12.35	1	12350000
121	RSM_1_12.45	1	12450000
122	RSM_1_12.55	1	12550000
123	RSM_1_12.65	1	12650000
124	RSM_1_12.75	1	12750000
125	RSM_1_12.85	1	12850000
126	RSM_1_12.95	1	12950000
127	RSM_1_13.05	1	13050000
128	RSM_1_13.15	1	13150000
129	RSM_1_13.25	1	13250000
130	RSM_1_13.45	1	13450000
131	RSM_1_13.55	1	13550000
132	RSM_1_13.65	1	13650000
133	RSM_1_14.05	1	14050000
134	RSM_1_15.85	1	15850000
135	RSM_1_15.95	1	15950000
136	RSM_1_16.15	1	16150000
137	RSM_1_16.25	1	16250000
138	RSM_1_16.35	1	16350000
139	RSM_1_16.45	1	16450000
140	RSM_1_16.65	1	16650000
141	RSM_1_16.75	1	16750000
142	RSM_1_16.85	1	16850000
143	RSM_1_16.95	1	16950000
144	RSM_1_17.05	1	17050000
145	RSM_1_17.15	1	17150000
146	RSM_1_17.25	1	17250000
147	RSM_1_17.35	1	17350000
148	RSM_1_17.45	1	17450000
149	RSM_1_17.55	1	17550000
150	RSM_1_17.65	1	17650000
151	RSM_1_17.75	1	17750000
152	RSM_1_17.85	1	17850000
153	RSM_1_17.95	1	17950000
154	RSM_1_18.05	1	18050000
155	RSM_1_18.15	1	18150000
156	RSM_1_18.25	1	18250000
157	RSM_1_18.35	1	18350000
158	RSM_1_18.45	1	18450000
159	RSM_1_18.55	1	18550000
160	RSM_1_18.65	1	18650000
161	RSM_1_18.75	1	18750000
162	RSM_1_18.95	1	18950000
163	RSM_1_19.05	1	19050000
164	RSM_1_19.15	1	19150000
165	RSM_1_19.25	1	19250000
166	RSM_1_19.35	1	19350000
167	RSM_1_19.45	1	19450000
168	RSM_1_19.55	1	19550000
169	RSM_1_19.65	1	19650000
170	RSM_1_19.75	1	19750000
171	RSM_1_19.85	1	19850000
172	RSM_1_19.95	1	19950000
173	RSM_1_20.05	1	20050000
174	RSM_1_20.15	1	20150000
175	RSM_1_20.25	1	20250000
176	RSM_1_20.35	1	20350000
177	RSM_1_20.45	1	20450000
178	RSM_1_20.55	1	20550000
179	RSM_1_20.65	1	20650000
180	RSM_1_20.75	1	20750000
181	RSM_1_20.85	1	20850000
182	RSM_1_20.95	1	20950000
183	RSM_1_21.05	1	21050000
184	RSM_1_21.15	1	21150000
185	RSM_1_21.25	1	21250000
186	RSM_1_21.35	1	21350000
187	RSM_1_21.45	1	21450000
188	RSM_1_21.55	1	21550000
189	RSM_1_21.65	1	21650000
190	RSM_1_21.75	1	21750000
191	RSM_1_21.85	1	21850000
192	RSM_1_21.95	1	21950000
193	RSM_1_22.05	1	22050000
194	RSM_1_22.15	1	22150000
195	RSM_1_22.25	1	22250000
196	RSM_1_22.35	1	22350000
197	RSM_1_22.45	1	22450000
198	RSM_1_22.55	1	22550000
199	RSM_1_22.65	1	22650000
200	RSM_1_22.75	1	22750000
201	RSM_1_22.85	1	22850000
202	RSM_1_22.95	1	22950000
203	RSM_1_23.05	1	23050000
204	RSM_1_23.15	1	23150000
205	RSM_1_23.25	1	23250000
206	RSM_1_23.35	1	23350000
207	RSM_1_23.45	1	23450000
208	RSM_1_23.55	1	23550000
209	RSM_1_23.65	1	23650000
210	RSM_1_23.75	1	23750000
211	RSM_1_23.85	1	23850000
212	RSM_1_23.95	1	23950000
213	RSM_1_24.05	1	24050000
214	RSM_1_24.15	1	24150000
215	RSM_1_24.25	1	24250000
216	RSM_1_24.35	1	24350000
217	RSM_1_24.45	1	24450000
218	RSM_1_24.55	1	24550000
219	RSM_1_24.65	1	24650000
220	RSM_1_24.75	1	24750000
221	RSM_1_24.85	1	24850000
222	RSM_1_25.05	1	25050000
223	RSM_1_25.15	1	25150000
224	RSM_1_25.25	1	25250000
225	RSM_1_25.35	1	25350000
226	RSM_1_25.45	1	25450000
227	RSM_1_25.55	1	25550000
228	RSM_1_25.65	1	25650000
229	RSM_1_25.85	1	25850000
230	RSM_1_25.95	1	25950000
231	RSM_1_26.05	1	26050000
232	RSM_1_26.15	1	26150000
233	RSM_1_26.25	1	26250000
234	RSM_1_26.35	1	26350000
235	RSM_1_26.45	1	26450000
236	RSM_1_26.55	1	26550000
237	RSM_1_26.65	1	26650000
238	RSM_1_26.75	1	26750000
239	RSM_1_26.85	1	26850000
240	RSM_1_26.95	1	26950000
241	RSM_1_27.05	1	27050000
242	RSM_1_27.15	1	27150000
243	RSM_1_27.25	1	27250000
244	RSM_1_27.35	1	27350000
245	RSM_1_27.45	1	27450000
246	RSM_1_27.55	1	27550000
247	RSM_1_27.65	1	27650000
248	RSM_1_27.75	1	27750000
249	RSM_1_27.85	1	27850000
250	RSM_1_27.95	1	27950000
251	RSM_1_28.05	1	28050000
252	RSM_1_28.15	1	28150000
253	RSM_1_28.25	1	28250000
254	RSM_1_28.35	1	28350000
255	RSM_1_28.45	1	28450000
256	RSM_1_28.55	1	28550000
257	RSM_1_28.65	1	28650000
258	RSM_1_28.75	1	28750000
259	RSM_1_28.85	1	28850000
260	RSM_1_28.95	1	28950000
261	RSM_1_29.05	1	29050000
262	RSM_1_29.15	1	29150000
263	RSM_1_29.25	1	29250000
264	RSM_1_29.35	1	29350000
265	RSM_1_29.45	1	29450000
266	RSM_1_29.55	1	29550000
267	RSM_1_29.65	1	29650000
268	RSM_1_29.75	1	29750000
269	RSM_1_29.85	1	29850000
270	RSM_1_29.95	1	29950000
271	RSM_1_30.05	1	30050000
272	RSM_1_30.15	1	30150000
273	RSM_1_30.25	1	30250000
274	RSM_1_30.35	1	30350000
275	RSM_1_30.45	1	30450000
276	RSM_2_0.05	2	50000
277	RSM_2_0.15	2	150000
278	RSM_2_0.25	2	250000
279	RSM_2_0.35	2	350000
280	RSM_2_0.45	2	450000
281	RSM_2_0.55	2	550000
282	RSM_2_0.65	2	650000
283	RSM_2_0.75	2	750000
284	RSM_2_0.85	2	850000
285	RSM_2_0.95	2	950000
286	RSM_2_1.05	2	1050000
287	RSM_2_1.15	2	1150000
288	RSM_2_1.35	2	1350000
289	RSM_2_1.45	2	1450000
290	RSM_2_1.55	2	1550000
291	RSM_2_1.65	2	1650000
292	RSM_2_1.75	2	1750000
293	RSM_2_1.85	2	1850000
294	RSM_2_1.95	2	1950000
295	RSM_2_2.05	2	2050000
296	RSM_2_2.15	2	2150000
297	RSM_2_2.25	2	2250000
298	RSM_2_2.35	2	2350000
299	RSM_2_2.45	2	2450000
300	RSM_2_2.55	2	2550000
301	RSM_2_2.85	2	2850000
302	RSM_2_2.95	2	2950000
303	RSM_2_3.05	2	3050000
304	RSM_2_4.35	2	4350000
305	RSM_2_4.65	2	4650000
306	RSM_2_4.85	2	4850000
307	RSM_2_5.15	2	5150000
308	RSM_2_5.55	2	5550000
309	RSM_2_5.65	2	5650000
310	RSM_2_5.75	2	5750000
311	RSM_2_5.95	2	5950000
312	RSM_2_6.05	2	6050000
313	RSM_2_6.15	2	6150000
314	RSM_2_6.35	2	6350000
315	RSM_2_6.45	2	6450000
316	RSM_2_6.65	2	6650000
317	RSM_2_6.75	2	6750000
318	RSM_2_6.85	2	6850000
319	RSM_2_6.95	2	6950000
320	RSM_2_7.05	2	7050000
321	RSM_2_7.15	2	7150000
322	RSM_2_7.25	2	7250000
323	RSM_2_7.35	2	7350000
324	RSM_2_7.45	2	7450000
325	RSM_2_7.55	2	7550000
326	RSM_2_7.65	2	7650000
327	RSM_2_7.75	2	7750000
328	RSM_2_7.85	2	7850000
329	RSM_2_7.95	2	7950000
330	RSM_2_8.05	2	8050000
331	RSM_2_8.15	2	8150000
332	RSM_2_8.25	2	8250000
333	RSM_2_8.35	2	8350000
334	RSM_2_8.45	2	8450000
335	RSM_2_8.55	2	8550000
336	RSM_2_8.65	2	8650000
337	RSM_2_8.75	2	8750000
338	RSM_2_8.85	2	8850000
339	RSM_2_8.95	2	8950000
340	RSM_2_9.05	2	9050000
341	RSM_2_9.15	2	9150000
342	RSM_2_9.25	2	9250000
343	RSM_2_9.35	2	9350000
344	RSM_2_9.45	2	9450000
345	RSM_2_9.55	2	9550000
346	RSM_2_9.65	2	9650000
347	RSM_2_9.75	2	9750000
348	RSM_2_9.85	2	9850000
349	RSM_2_9.95	2	9950000
350	RSM_2_10.05	2	10050000
351	RSM_2_10.15	2	10150000
352	RSM_2_10.25	2	10250000
353	RSM_2_10.35	2	10350000
354	RSM_2_10.45	2	10450000
355	RSM_2_10.55	2	10550000
356	RSM_2_10.65	2	10650000
357	RSM_2_10.75	2	10750000
358	RSM_2_10.85	2	10850000
359	RSM_2_10.95	2	10950000
360	RSM_2_11.05	2	11050000
361	RSM_2_11.15	2	11150000
362	RSM_2_11.25	2	11250000
363	RSM_2_11.35	2	11350000
364	RSM_2_11.45	2	11450000
365	RSM_2_11.55	2	11550000
366	RSM_2_11.65	2	11650000
367	RSM_2_11.75	2	11750000
368	RSM_2_11.85	2	11850000
369	RSM_2_11.95	2	11950000
370	RSM_2_12.05	2	12050000
371	RSM_2_12.15	2	12150000
372	RSM_2_12.25	2	12250000
373	RSM_2_12.35	2	12350000
374	RSM_2_12.45	2	12450000
375	RSM_2_12.55	2	12550000
376	RSM_2_12.65	2	12650000
377	RSM_2_12.75	2	12750000
378	RSM_2_12.85	2	12850000
379	RSM_2_12.95	2	12950000
380	RSM_2_13.05	2	13050000
381	RSM_2_13.15	2	13150000
382	RSM_2_13.25	2	13250000
383	RSM_2_13.35	2	13350000
384	RSM_2_13.45	2	13450000
385	RSM_2_13.55	2	13550000
386	RSM_2_13.65	2	13650000
387	RSM_2_13.75	2	13750000
388	RSM_2_13.85	2	13850000
389	RSM_2_13.95	2	13950000
390	RSM_2_14.05	2	14050000
391	RSM_2_14.15	2	14150000
392	RSM_2_14.25	2	14250000
393	RSM_2_14.35	2	14350000
394	RSM_2_14.45	2	14450000
395	RSM_2_14.55	2	14550000
396	RSM_2_14.65	2	14650000
